bfs_gmde_name,bfs_gmde_code,gmde_stand
Appenzello,3101,01-03-2024
Bâle,2701,01-03-2024
Basilea,2701,01-03-2024
Basilea,2701,01-03-2024
Bellinzone,5002,01-03-2024
Berne,351,01-03-2024
Berna,351,01-03-2024
Berna,351,01-03-2024
Biel (BE),371,01-03-2024
Bienne,371,01-03-2024
Bienna,371,01-03-2024
Brigue-Glis,6002,01-03-2024
Briga-Glis,6002,01-03-2024
Berthoud,404,01-03-2024
Coire,3901,01-03-2024
Coira,3901,01-03-2024
Cuira,3901,01-03-2024
Gurwolf,2250,01-03-2024
Delsberg,6711,01-03-2024
Delemunt,6711,01-03-2024
Guin,2293,01-03-2024
Cerlier,492,01-03-2024
Leubringen,372,01-03-2024
Freiburg,2196,01-03-2024
Friburgo,2196,01-03-2024
Friburg,2196,01-03-2024
Champion,495,01-03-2024
Genf,6621,01-03-2024
Ginevra,6621,01-03-2024
Genevra,6621,01-03-2024
Geneva,6621,01-03-2024
Chevrilles,2294,01-03-2024
Glaris,1632,01-03-2024
Glarona,1632,01-03-2024
Glaruna,1632,01-03-2024
Granges (SO),2546,01-03-2024
Greyerz,2135,01-03-2024
Gruyère,2135,01-03-2024
Cormondes,2262,01-03-2024
Anet,496,01-03-2024
Bellegarde,2138,01-03-2024
Chiètres (FR),2265,01-03-2024
Neuenstadt,723,01-03-2024
Laufon,2787,01-03-2024
Losanna,5586,01-03-2024
Losanna,5586,01-03-2024
Longeau,387,01-03-2024
Loèche-Ville,6110,01-03-2024
Loèche-les-Bains,6111,01-03-2024
Gléresse,740,01-03-2024
Lucerne,1061,01-03-2024
Lucerna,1061,01-03-2024
Lucerna,1061,01-03-2024
Lucerne,1061,01-03-2024
Merlach,2271,01-03-2024
Münster (BE),700,01-03-2024
Montilier,2274,01-03-2024
Morat,2275,01-03-2024
Villars-les-Moines,669,01-03-2024
Neuenburg,6458,01-03-2024
Perles,392,01-03-2024
Planfayon,2299,01-03-2024
Pruntrut,6800,01-03-2024
Rarogne,6199,01-03-2024
Dirlaret,2301,01-03-2024
Gessenay,843,01-03-2024
St. Immer,443,01-03-2024
Salquenen,6113,01-03-2024
Schaffhouse,2939,01-03-2024
Sciaffusa,2939,01-03-2024
Schaffusa,2939,01-03-2024
La Scheulte,708,01-03-2024
Svitto,1372,01-03-2024
Sviz,1372,01-03-2024
Siders,6248,01-03-2024
Sempione,6009,01-03-2024
Sitten,6266,01-03-2024
Soleure,2601,01-03-2024
Soletta,2601,01-03-2024
Soloturn,2601,01-03-2024
Saint-Gall,3203,01-03-2024
San Gallo,3203,01-03-2024
Son Gagl,3203,01-03-2024
Saint-Nicolas,6292,01-03-2024
Saint-Silvestre,2303,01-03-2024
Saint-Etienne,793,01-03-2024
Saint-Ours,2304,01-03-2024
Tavel,2306,01-03-2024
Tinterin,2307,01-03-2024
Thoune,942,01-03-2024
Douanne-Daucher,756,01-03-2024
Ormey,2278,01-03-2024
Varone,6116,01-03-2024
Viège,6297,01-03-2024
Winterthour,230,01-03-2024
Zofingue,4289,01-03-2024
Zoug,1711,01-03-2024
Zugo,1711,01-03-2024
Zurich,261,01-03-2024
Zurigo,261,01-03-2024
Turitg,261,01-03-2024